location,date,value
"Balears, Illes",2021/06,737.34
Canarias,2021/06,286.61
Cataluña,2021/06,386.79
Comunitat Valenciana,2021/06,301.07
"Madrid, Comunidad de",2021/06,209.05
Otras Comunidades Autónomas,2021/06,191.59
Andalucía,2021/07,661.39
"Balears, Illes",2021/07,1634.44
Canarias,2021/07,629.12
Cataluña,2021/07,874.9
Comunitat Valenciana,2021/07,722.03
"Madrid, Comunidad de",2021/07,333.84
Otras Comunidades Autónomas,2021/07,375.25
Andalucía,2021/08,850.23
"Balears, Illes",2021/08,1580.14
Canarias,2021/08,817.68
Cataluña,2021/08,1124.28
Comunitat Valenciana,2021/08,800.64
"Madrid, Comunidad de",2021/08,319.31
Otras Comunidades Autónomas,2021/08,409.33
Andalucía,2021/09,719.7
"Balears, Illes",2021/09,1304.68
Canarias,2021/09,841.12
Cataluña,2021/09,789.24
Comunitat Valenciana,2021/09,657.93
"Madrid, Comunidad de",2021/09,370.89
Otras Comunidades Autónomas,2021/09,357.33
Andalucía,2021/10,861.91
"Balears, Illes",2021/10,1113.05
Canarias,2021/10,1253.14
Cataluña,2021/10,754.01
Comunitat Valenciana,2021/10,681.27
"Madrid, Comunidad de",2021/10,539
Otras Comunidades Autónomas,2021/10,385.08
